name,highway,n_points,n_visible,pct_visible
"(unnamed)",footway,3266,536,16.4
"(unnamed)",service,1676,234,14.0
"(unnamed)",residential,810,81,10.0
"ถนนสาทรใต้",primary,288,218,75.7
"ถนนสาทรเหนือ",primary,222,43,19.4
"ถนนสีลม",footway,199,7,3.5
"ถนนเจริญกรุง",secondary,164,0,0.0
"(unnamed)",path,142,2,1.4
"ถนนปั้น",tertiary,138,0,0.0
"ถนนเจริญราษฎร์",primary,124,72,58.1
"ซอยเจริญกรุง 40",footway,102,0,0.0
"ซอยสีลม 21",residential,96,10,10.4
"ซอยเจริญกรุง 42",residential,92,0,0.0
"ซอยเจริญกรุง 57",unclassified,92,12,13.0
"ซอยสาทร 15",residential,84,8,9.5
"ซอยปราโมทย์ 1",residential,78,0,0.0
"ซอยเจริญกรุง 47/3",footway,78,0,0.0
"ถนนสุรวงศ์",footway,74,0,0.0
"ซอยสีลม 19",footway,74,0,0.0
"ทางลัดถนนสาทรเหนือ-ถนนสุรวงศ์",tertiary,70,0,0.0
"ซอยเจริญราษฏร์ 1",residential,68,15,22.1
"ถนนเจริญเวียง",residential,66,1,1.5
"ซอยปราโมทย์ 3",residential,66,0,0.0
"ซอยปราโมทย์ 2",residential,66,0,0.0
"ถนนเจริญกรุง",footway,66,0,0.0
"(unnamed)",steps|footway,60,16,26.7
"ถนนมเหสักข์",footway,56,0,0.0
"(unnamed)",steps,55,23,41.8
"ถนนจรูญเวียง",residential,50,0,0.0
"ซอยเจริญกรุง 55",path,50,0,0.0
"ซอยสีลม 26",residential,50,0,0.0
"ซอยเจริญราษฎร์ 1 แยก 9",residential,48,0,0.0
"ซอยโทรคาเดโร",service,48,0,0.0
"ซอยสาทร 21",residential,46,28,60.9
"ซอยศาลเจ้าเจียวเองเบี้ยว",residential,44,0,0.0
"ซอยสีลม 23",residential,44,42,95.5
"(unnamed)",path|footway,44,16,36.4
"ซอยเจริญกรุง 46",residential,42,0,0.0
"ซอยสาทร 17",residential,42,37,88.1
"ซอยเจริญกรุง 44",residential,40,0,0.0
"ซอยปราโมทย์ 2/1",path,38,0,0.0
"ซอยเจริญกรุง 53",service|residential,38,2,5.3
"ซอยสีลม 19|ถนนสีลม",footway,38,0,0.0
"ตรอกโอเรียนเต็ล",residential,36,0,0.0
"ซอยสีลม 34|ซอยมเหสักข์ 3",residential,36,0,0.0
"(unnamed)",service|residential,35,0,0.0
"ซอยเจริญกรุง 50",residential,34,0,0.0
"ตรอกชาเตอร์แบงค์",residential,34,0,0.0
